,Name,Polarity,Subjectivity,Compound,Negative,Neutral,Positive,Emotion
0,"Beautiful Disaster (Beautiful, #1)",0.032340416,0.569431493,-1,0.157,0.71,0.133,"Love,Joy"
1,"Fifty Shades of Grey (Fifty Shades, #1)",0.034589027,0.523315891,-0.9954,0.135,0.728,0.137,"Love,Joy"
2,"Hopeless (Hopeless, #1)",0.185321787,0.60008593,1,0.108,0.681,0.211,"Love,Joy"
3,The Fault in Our Stars,0.089534223,0.554305152,-0.9991,0.158,0.69,0.152,"Love,Joy"
4,"Divergent (Divergent, #1)",0.098273927,0.530631369,1,0.104,0.729,0.168,"Love,Joy"
5,"Slammed (Slammed, #1)",0.159868651,0.5706714,1,0.101,0.698,0.201,"Love,Joy"
6,"Effortless (Thoughtless, #2)",0.206235994,0.575669213,1,0.089,0.69,0.22,"Love,Joy"
7,"Easy (Contours of the Heart, #1)",0.165779317,0.567269648,1,0.116,0.691,0.193,"Love,Joy"
8,"Bared to You (Crossfire, #1)",0.12701953,0.556632626,1,0.1,0.739,0.16,"Love,Joy"
9,"Thoughtless (Thoughtless, #1)",0.064509581,0.574256662,-0.9996,0.173,0.668,0.159,"Love,Joy"
10,"The Hunger Games (The Hunger Games, #1)",0.128509255,0.519793751,1,0.117,0.735,0.148,"Love,Joy"
11,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",0.128639512,0.558616926,1,0.111,0.699,0.19,"Love,Joy"
12,"The Edge of Never (The Edge of Never, #1)",0.149735608,0.544332583,1,0.109,0.704,0.187,"Love,Joy"
13,"Obsidian (Lux, #1)",0.159516473,0.596656111,1,0.099,0.677,0.224,"Love,Joy"
14,"Walking Disaster (Beautiful, #2)",0.12320702,0.548544536,1,0.129,0.71,0.161,"Love,Joy"
15,"City of Bones (The Mortal Instruments, #1)",0.082898361,0.544143896,1,0.099,0.739,0.162,"Love,Joy"
16,"On Dublin Street (On Dublin Street, #1)",0.158394247,0.554709646,1,0.106,0.698,0.196,"Love,Joy"
17,"Clockwork Angel (The Infernal Devices, #1)",0.11285989,0.552600331,1,0.104,0.708,0.187,"Love,Joy"
18,Pride and Prejudice,0.15063587,0.530442416,1,0.096,0.727,0.176,"Love,Joy"
19,"Anna and the French Kiss (Anna and the French Kiss, #1)",0.127952716,0.560088638,1,0.115,0.688,0.197,"Love,Joy"
20,"Hush, Hush (Hush, Hush, #1)",0.050246531,0.539766127,-0.9998,0.145,0.718,0.137,"Love,Joy"
21,"Vampire Academy (Vampire Academy, #1)",0.166860753,0.57569716,1,0.123,0.696,0.181,"Love,Joy"
22,"Wallbanger (Cocktail, #1)",0.165954229,0.599766671,1,0.098,0.685,0.216,"Love,Joy"
23,"Fifty Shades Freed (Fifty Shades, #3)",0.10452274,0.51646905,1,0.109,0.71,0.181,"Love,Joy"
24,"Gabriel's Inferno (Gabriel's Inferno, #1)",0.137500449,0.571671003,1,0.086,0.713,0.201,"Love,Joy"
25,"Reflected in You (Crossfire, #2)",0.135414209,0.556813113,1,0.112,0.721,0.167,"Love,Joy"
26,"Fifty Shades Darker (Fifty Shades, #2)",0.074309426,0.486265715,1,0.111,0.727,0.162,"Love,Joy"
27,"Perfect Chemistry (Perfect Chemistry, #1)",0.18889285,0.577353005,1,0.09,0.69,0.221,"Love,Joy"
28,"The Coincidence of Callie & Kayden (The Coincidence, #1)",0.098108003,0.555871106,1,0.13,0.692,0.178,"Love,Joy"
29,"The Twilight Saga (Twilight, #1-4)",0.097672091,0.5664315,1,0.121,0.699,0.18,"Love,Joy"
30,The Boy Who Sneaks in My Bedroom Window,0.107882436,0.569538051,0.9998,0.108,0.772,0.12,"Love,Joy"
31,"Twilight (Twilight, #1)",0.061194794,0.555342809,1,0.115,0.724,0.161,"Love,Joy"
32,"Point of Retreat (Slammed, #2)",0.195292726,0.56914617,1,0.09,0.713,0.197,"Love,Joy"
33,"Wait for You (Wait for You, #1)",0.178300848,0.567404485,1,0.088,0.701,0.211,"Love,Joy"
34,"The Host (The Host, #1)",0.106435642,0.56135051,1,0.112,0.707,0.181,"Love,Joy"
35,"Love Unscripted (Love, #1)",0.140879023,0.563947923,1,0.099,0.701,0.2,"Love,Joy"
36,"If I Stay (If I Stay, #1)",0.152894179,0.555690328,1,0.114,0.721,0.165,"Love,Joy"
37,"The Vincent Boys (The Vincent Boys, #1)",0.148388278,0.56581175,1,0.115,0.704,0.182,"Love,Joy"
38,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",0.157992313,0.578322516,1,0.119,0.698,0.183,"Love,Joy"
39,"The Mighty Storm (The Storm, #1)",0.198919981,0.576403062,1,0.096,0.688,0.216,"Love,Joy"
40,The Sea of Tranquility,0.161648113,0.570598715,1,0.115,0.688,0.197,"Love,Joy"
41,"The Secret of Ella and Micha (The Secret, #1)",0.157516919,0.545668375,1,0.088,0.715,0.197,"Love,Joy"
